Battery_ID,Cycle_Count,Voltage_V,Current_A,Temperature_C,SOC_percent,Capacity_Ah,Internal_Resistance_Ohm,Energy_Remaining_kWh,Power_kW,SOH_percent,Condition_Score,Battery_Condition,Second_Life_Status
EVB_0001,1176,324.25,76.06,17.81,20.55,45.33,0.0951,3.02,24.66,75.55,83.21,Degraded,Suitable for evaluation
EVB_0002,1509,333.58,45.56,39.65,31.01,42.16,0.102,4.36,15.2,70.27,76.6,Degraded,Suitable for evaluation
EVB_0003,910,378.93,61.32,33.0,93.19,49.39,0.077,17.44,23.24,82.32,89.35,Moderate,Suitable for evaluation
EVB_0004,1344,353.28,59.27,19.03,69.22,43.66,0.086,10.68,20.94,72.76,82.88,Degraded,Suitable for evaluation
EVB_0005,1180,352.31,86.04,33.88,52.12,45.48,0.085,8.35,30.31,75.8,84.69,Degraded,Suitable for evaluation
EVB_0006,1145,319.74,47.96,13.5,6.21,46.05,0.0879,0.91,15.34,76.75,84.82,Degraded,Suitable for evaluation
EVB_0007,1774,377.84,31.52,48.74,99.28,37.72,0.1285,14.15,11.91,62.87,63.54,Critical,Consider second-life/replacement
EVB_0008,1094,361.49,65.38,21.19,68.79,46.69,0.0866,11.61,23.64,77.81,85.58,Degraded,Suitable for evaluation
EVB_0009,1688,338.18,53.72,42.89,35.11,38.8,0.1144,4.61,18.17,64.66,69.91,Critical,Consider second-life/replacement
EVB_0010,171,371.93,63.45,23.5,88.53,58.22,0.0474,19.17,23.6,97.03,98.37,Healthy,Not yet
EVB_0011,516,335.83,60.36,34.48,29.55,54.03,0.0702,5.36,20.27,90.04,94.49,Healthy,Not yet
EVB_0012,1288,347.04,6.28,22.7,56.68,44.79,0.0863,8.81,2.18,74.64,83.88,Degraded,Suitable for evaluation
EVB_0013,380,361.05,49.92,37.98,65.43,55.26,0.0593,13.05,18.02,92.1,93.87,Healthy,Not yet
EVB_0014,1532,336.78,53.48,28.12,26.0,41.49,0.0974,3.63,18.01,69.15,79.38,Critical,Consider second-life/replacement
EVB_0015,137,374.99,41.64,33.74,97.95,59.37,0.0447,21.8,15.62,98.94,99.42,Healthy,Not yet
EVB_0016,1446,360.7,39.49,30.12,76.08,42.7,0.0902,11.72,14.24,71.16,81.45,Degraded,Suitable for evaluation
EVB_0017,1173,352.04,15.38,19.07,57.99,46.81,0.0936,9.56,5.42,78.01,84.76,Degraded,Suitable for evaluation
EVB_0018,921,331.64,64.08,34.03,22.16,48.25,0.0742,3.55,21.25,80.42,88.67,Moderate,Suitable for evaluation
EVB_0019,1737,323.85,56.51,25.97,10.12,39.57,0.101,1.3,18.3,65.95,77.13,Critical,Consider second-life/replacement
EVB_0020,180,341.1,66.59,38.36,35.41,57.17,0.0583,6.9,22.71,95.29,95.39,Healthy,Not yet
EVB_0021,1735,361.46,14.12,28.11,76.55,38.79,0.1062,10.73,5.1,64.65,75.73,Critical,Consider second-life/replacement
EVB_0022,1382,338.28,56.46,29.39,30.59,43.13,0.0924,4.46,19.1,71.88,81.54,Degraded,Suitable for evaluation
EVB_0023,819,354.56,40.03,43.46,56.26,49.46,0.0764,9.87,14.19,82.43,84.4,Moderate,Suitable for evaluation
EVB_0024,393,366.56,44.69,49.05,74.15,54.32,0.0774,14.77,16.38,90.54,85.38,Healthy,Not yet
EVB_0025,1565,325.25,45.15,36.29,15.25,42.01,0.103,2.08,14.69,70.02,78.34,Degraded,Suitable for evaluation
EVB_0026,1487,362.1,52.37,27.7,70.1,42.19,0.1019,10.71,18.96,70.31,79.42,Degraded,Suitable for evaluation
